사건명,승패자,결과,요약된 내용
"교통사고처리특례법,도로교통법위반",상고인,승소,"['2. 도로교통법위반의 점에 대하여,  원심판결 이유에 의하면, 원심은 이 사건 교통사고로 인한 재물(위 오토바이)손괴의 점에 대하여도, 위 버스가 전국버스운송사업조합연합회의 공제조합에 가입되어 있다는 이유로, 공소제기의 절차가 법률의 규정에 위반하여 무효인 때에 해당한다고 판단하고 있다', '그러나 위 서류에 의하면 위 버스는 이른바 대인공제에만 가입하고 대물공제에는 가입하지 아니한 것으로 되어 있으므로 이것만으로 본다면 재물손괴로 인한 이 사건 도로교통법위반 부분은 교통사고처리특례법에 따라 공소권이 없는 경우에 해당하지 아니한다고 할 것이다', '원심이 위 버스가 대물공제에도 가입된 것으로 보고 이 부분 공소제기절차까지 부적법하다고 판단한 것은 결국 이 부분에 관한 증거의 내용을 잘못 이해하거나 이 점에 관한 심리를 다하지 아니하여 판결에 영향을 미친 위법을 범하였다 할 것이다']"
교통사고처리특례법위반,상고인,승소,"[""원심판결 이유에 의하면, 원심은         교통사고처리특례법 제3조 제2항단서 제2호 소정의 '도로교통법 제13조 제2항의 규정에 위반하여 차선이 설치된 도로의 중앙선을 침범하였을 때'라 함은 교통사고의 발생지점이 중앙선을 넘어선 모든 경우를 말하는 것이 아니라 계속적인 중앙선침범운행을 하였거나 부득이한 사유가 없이 중앙선을 침범하여 교통사고를 발생케 한 경우를 말한다고 봄이 상당한데, 이 사건 교통사고는 피고인이 커브길을 운행중 전방의 횡단보도 우측에 보행자들이 서있는 것을 보고 당황한 나머지 급제동하자 차량이 노면에 미끄러지면서 중앙선을 침범하여 발생한 것으로서 이는         교통사고처리특례법 제3조 제2항 단서 제2호의 중앙선침범에 해당하지 아니한다는 취지로 판단하였다"", '그럼에도 불구하고 원심이 이 사건 사고를 위 법조 소정의 중앙선침범에 해당하지 아니한다고 판단한 것은 그 법리를 오해하여 판결에 영향을 미쳤다고할 것이고 이를 지적하는 논지는 이유있다', '이에 원심판결을 파기하고 사건을 원심법원에 환송하기로 관여 법관의 의견이 일치되어 주문과 같이 판결한다']"
교통사고처리특례법위반,상고인,패소,"['2. 피고인         2의 상고이유를 본다', '위와 같이 2차선에서 피고인         2가 운전하던 승용차를 앞서 가던 위 덤프트럭이 1차선으로 들어가 중앙선 가까이에 접근해 감으로써 그 반대방향에서 진행해 오던 다른 차량의 운전사조차 위 덤프트럭이 좌회전할 것으로 알고 서행할 정도였고 또 우회전신호등까지도 켜지않는 상태였다면(원심의 피고인         1에 대한 판시내용도 우회전신호등을 켜는 등 주의의무를 다하지 아니하였음을 인정한 취지로 보인다), 위 덤프트럭을 뒤따라 가던 피고인         2로서는 1차선으로 진입하던 위 덤프트럭이 사고장소에서 갑자기 우회전하여 2차선으로 다시 들어올 것을 예견하기는 어려운 상황이었다고 하지않을 수없다', '이 밖에 원심은 피고인         2가 위 덤프트럭의 우회전을 예견하지 못하였다고 하여도 위 덤프트럭 전방에 도로횡단자나 다른 차량이 있을지도 모른다는 것을 인식하고 감속운행해야 할 주의의무가 있는 것이라고 판시하였으나, 기록(특히 원심검증결과)에 의하면 피고인         2 운전의 승용차보다 앞서가던 위 덤프트럭도 횡단보도앞에서 정지하지 않고 계속 운행하였을 뿐 아니라 우회전하기 위하여 일단 1차선으로 진입할 때에 이미 횡단보도에 들어섰던 사실이 인정되므로 이러한 경우에 뒤 따라가던 위 피고인에게 위 덤프트럭의 전방에 도로횡단자나 다른 차량이 있을지도 모를 것을 예상하여 감속서행하라고 요구하는 것은 무리라고 할 것이다']"
"교통사고처리특례법위반,도로교통법위반",상고인,승소,"['원심이 같은 취지에서 이 부분에 대한 공소사실을 무죄로 판결한 제1심판결을 유지하고 검사의 항소를 받아들이지 아니한 조치는 정당하고, 거기에 위 법조의 신고의무에 대한 법리를 오해한 위법이 있다고는 할 수 없다', '소론은 교통사고가 발생하였다면 어떠한 경우라도 그 객관적 교통사고 사실에 대하여는 위 법조에 따라 항상 신고의무가 있다는 취지이나, 이는 독단의 견해로서 채용할 수 없는 것이다', '이에 상고를 기각하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다']"
교통사고처리특례법위반,상고인,승소,"['원심이 유지한 제1심판결의 이유에 의하면, 제1심은         피고인이 승합차량을 운전하여 황색점선으로 중앙선이 표시되어 있는 편도 1차선의 직선도로를 운행하던 중, 피해자가 자전거를 타고 같은 방향으로 앞서가는 것을 발견하고 이를 앞지르기 위하여 대향차선에 진행중인 차량이 없음을 확인한 후 중앙선을 넘어 대향차선에 진입하였는데, 이어서 피해자도 도로를 횡단하기 위하여 중앙선을 넘어 대향차선으로 들어오는 것을 보고 급제동 조치를 취하였으나 미치지 못하고 승합차량의 우측 앞밤바부분으로 위 자전거의 좌측 뒷부분을 들이받음으로써, 피해자를 땅에 넘어지게 하여 피해자에게 약 12주간의 치료를 요하는 대퇴경부골절 등의 상해를 입게 한 사실을 인정한 다음, 피고인이 앞서가는 자전거를 앞지르기 위하여 대향차선에 차량이 없는 것을 확인한 후 황색점선의 중앙선을 넘은 것은         도로교통법 제13조 제2항의 차선에 따른 운행이라고 할 것이므로, 이 사건 교통사고는         교통사고처리특례법 제3조제2항 제2호 소정의 중앙선침범사고라고 볼 수 없다고 판단하였다', '관계증거를 기록과 대조하여 검토하여 보면,         피고인이 이 사건 교통사고가 일어나기 직전에 편도 1차선 직선도로의 바깥쪽으로부터 3분의1 정도의 지점으로 진행하던 자전거를 안전하게 앞지르기 위하여 그 당시의 객관적인 여건으로 보아 중앙선을 넘어야 할 필요가 있었고, 또 중앙선을 넘어감에 있어서 반대방향의 교통에 충분한 주의를 기울이는 등의 조치를 취하였다고 보여지므로, 원심의 위와 같은 사실인정은 정당한 것으로 수긍이 되고, 원심판결에 소론과 같이 채증법칙을 위반한 위법이 있다고 볼 수 없다', '또 사실관계가 위와 같다면,         피고인이 황색점선으로 표시된 중앙선을 넘어 반대차선으로 들어간 행위는,           도로교통법 제13조 제2항 및           같은법시행규칙 제10조 제1항 [별표1]6.에 규정된 통행방법에 따른 것으로서,           교통사고처리특례법 제3조 제2항 단서 제2호 전단 소정의 ""도로교통법 제13조 제2항의 규정에 위반하여 차선이 설치된 도로의 중앙선을 침범한 경우""에 해당하는 것이라고 볼 수 없을 뿐만 아니라, 피고인이 차선이 설치된 도로의 중앙선을 침번한 행위가 이 사건 교통사고의 직접적인 원인이 되었다고 볼 수도 없으므로, 이 사건 교통사고가           교통사고처리특례법 제3조 제2항 단서 제2호 전단 소정의 중앙선침범사고에 해당하지 아니한다        고 본 원심의 판단은 정당한 것으로 수긍이 되고(        당원 1990.4.10. 선고 89도2218 판결,         1991.1.11. 선고 90도2000 판결 등 참조), 원심판결에 소론과 같이 중앙선침범사고에 관한 법리를 오해한 위법이 있다고 볼 수도 없다']"
교통사고처리특례법위반등,항소인,승소,"['【이유】  검사의 항소이유의 요지는 원심은 피고인이 횡단보도상의 보행자 보호의무를 위반한 것이라고 인정할 만한 증거가 없고 피고인 운전의 사고차량이 공제조합에 가입되어 있으므로 공소권이 없다는 이유로 공소기각의 판결을 하였는바 이는 일부 사실오인 및 신호기 있는 횡단보도상의 교통사고에 있어서의 교통사고처리특례법의 법리를 오해하여 판결에 영향을 미친 위법을 저질렀다는 것이다', '그러므로 살피건대 원심은 그 설시한 증거들에 의하여 이 사건         피해자는 이 사건 사고 장소인 횡단보도상에서 보행자 신호가 녹색등으로 바뀐 후 뒤늦게 횡단을 시작한 탓으로 중간에서 녹색신호등이 적색신호등으로 바뀌었음에도 불구하고 무리하게 나머지 부분을 계속하여 횡단하다가 건너편 3차선 도로상에서 위 횡단보도상의 신호가 적색신호임을 확인하고 3차선으로 위 횡단보도에 진입, 우회전하려던 피고인 택시에 충돌되어 이 사건 부상을 입은 사실을 인정한 다음 이 사건 사고가 횡단보도상에서 발생하기는 하였으나 이 사건 사고 당시 위 횡단보도상의 보행자 신호가 적색신호등이었던 이상 피고인이 위 횡단보도 앞에서 감속하거나 일단정지를 하지 않았다 하더라도         도로교통법 제48조 제3호 소정의 횡단보도에서의 보행자 보호의무를 위반하였다고 볼 수 없고 한편 피고인 택시는 전국택시 운송사업조합 연합회 공제조합의 대인공제에 가입하였으므로 피고인에 대한 이 사건 공소는         교통사고처리특례법 제4조 제1항에 의하여 공소를 제기할 수 없는데도 공소가 제기된 것으로서 공소제기의 절차가 법률의 규정에 위반하여 무효인 때에 해당한다하여 이 사건 공소를 기각하였다', '이에         형사소송법 제364조 제6항,          제366조를 적용하여 원심판결을 파기하고 이 사건을 원심법원인 인천지방법원으로 환송하기로 하여 주문과 같이 판결한다']"
교통사고처리특례법위반,상고인,승소,"['2. 그러나 원심판시와 같이 자정이 지난 시각에 한적한 시골의 국도를 운행하면서 사람이 누워있을 것까지 예상하여 이에 대비하면서 운전하여야 할 주의의무는 없다고 하더라도,         피고인이 자동차운전자에게 통상적으로 요구되는 운전상 주의의무를 다하였더라면 도로위에 누워있는 피해자를 상당한 거리에서 미리 발견하여 이를 피할 수 있었음에도 불구하고 이를 게을리 한 탓으로 미리 발견하지 못한 것이라면 피고인의 업무상 과실이 없다고 할 수 없을 것이다', '사법경찰리작성의 검증조서와 사법경찰리 및 검사작성의 피고인에 대한 각 피의자신문조서기재에 의하면         이 사건 사고장소는 낮에도 상하행 차선의 왕래차량이 5분간에 각 5, 6대 정도에 불과하고 이 사건 당시에도 피고인 택시에 앞서 진행한 차량은 없을 정도로 매우 한산한 직선도로로서 시야장애가 없는 장소인 사실과 피고인은 경찰 및 검찰조사에서 맞은편에서 전조등을 켜고 오는 차량과 교행할 때에 피고인 택시의 전조등을 하향조정하여 진로를 잘 살펴야 하는데도 이를 게을리한 잘못이 있음을 시인하고 있는 사실이 인정되는 바 이러한 사실관계에 비추어 보면 피고인이 사전에 사람이 도로 위에 누워 있을 것까지 예상하지 아니하였다고 하여도 맞은편에서 오는 차량과 교행시에 전조등을 하향조정하여 진로를 주시하였더라면 진행전방에 누워있던 피해자를 상당한 거리에서 미리 발견할 수 있었다고 한다면 피고인은 과실책임을 면할 수 없을 것이다', '원심으로서는 위와 같은 점을 염두에 두고 피고인이 통상적으로 요구되는 운전상 주의의무를 다하였는데도 피해자를 미리 발견할 수 없었던 것인지의 여부를 심리하여 보았어야 함에도 불구하고 이에 이름이 없이 만연히 위와 같이 판단하고 말았음은 심리미진과 채증법칙위반으로 판결에 영향을 미친 위법을 저지른것으로서 이 점에 관한 논지는 이유있다']"
교통사고처리특례법위반,상고인,승소,"['제1심은 피고인은 공군 제17전투비행단 기지전대 수송대대 소속 콤비차량 고정운전병으로서 1990.9.10. 21:30경 위         자동차를 운전하여 부대 내단본부 사거리에서 관사아파트 방면으로 운행하다가 업무상과실로 안전표지인 보도와 차도를 구분하는 흰색실선을 넘어 보도를 침범하여 이 사건 피해자들에게 상해를 입혔다고 인정하여,         교통사고처리특례법 제3조 제1항,         형법 제268조 제1항을 적용하여 처단하였고,        나', '원심은 부대지휘관이 공군내부규정에 근거하여 설치한 위 흰색실선을 도로교통법상 설치권한 있는 시, 도지사가 설치한 안전표지와 동일한 것으로 보아         위 특례법 제3조 제1항,         형법 제268조 제1항을 적용하여 피고인을 유죄로 인정한 것은 위법이라는 피고인의 항소이유에 대하여, 기지 내 도로의 안전표지는 도로교통법상의 설치권한 있는 자인 시, 도지사의 위임을 받은 관할 경찰서장이 설치한 것은 아니지만,         관할부대장은 인명 및 재산을 보호할 책임이 있는 공군기지내의 안전관리를 위하여 그 수명자에게 명하는 행정규칙인 공군규정 7 - 56(안전색채 표지) 제12조에 근거하여 도로교통법 시행규칙에 따라서 교통안전표지를 설치하였고, 일반인이 볼 때 사회에서 시, 도지사가 설치한 안전표지와 동일한 외관을 갖추고 있으며, 수명자인 부대장병 및 군무원은 위 규정에 복종해야 될 특별권력관계상의 복종의무 내지 위 규정에 의거 기지 내에서의 도로교통안전에 관련한 안전표지를 준수해야 할 주의의무가 있다는 이유로 이를 배척하였다', '그러므로 상고이유의 제2점에 대한 판단을 할 것 없이 원심판결을 파기하고 사건을 원심법원에 환송하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다']"
교통사고처리특례법위반,상고인,패소,"['【피고인】 【상고인】   검사【원심판결】 서울형사지방법원 1990.12.28. 선고 90노6067 판결【주문】  상고를 기각한다', '【이유】  검사의 상고이유를 본다', '그러므로 상고를 기각하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다']"
"교통사고처리특례법위반,도로교통법위반",상고인,승소,"['2. 그러나 우선 위 판시 사실자체에 의하더라도 충돌당시 위 버스와 위 봉고차의 각 중앙선침범 여부가 분명치 아니하여 피고인의 운전상 과실이 명백하게 설시되어 있다고 볼 수 없다', '위 버스가 일단 중앙선을 침범하였다가 가까스로 제차선에 복귀하였는데도 위 봉고차가 중앙선을 침범하였기 때문에 위 버스 진행차선에서 충돌한 것이라면 피고인의 과실을 인정하기에 어렵지 않으나, 위 버스가 미처 제차선에서 복귀하지 못한 채 제차선을 운행중인 위 봉고차와 봉고차 진행차선에서 충돌한 것이라면 당시 피고인이 위 버스의 중앙선침범운행을 미리 발견할 수 있었던 거리에서 피행운행이 가능하였는지의 여부가 가려지지 않고서는 피고인의 과실유무를 판단할 수 없을 것이다', '원심이 위 각 차량의 중앙선침범 여부와 피고인이 위 버스를 미리 발견할 수 있었던 거리에서 피행운행이 가능하였는지의 여부를 심리하여 피고인의 과실유무를 가려봄이 없이 위와 같이 판단하고 말은 것은 이유불비와 심리미진으로 판결에 영향을 미친 위법을 저지른 것으로서 이 점에 관한 논지는 이유있다']"
"교통사고처리특례법위반,도로교통법위반",상고인,패소,"['【이유】  상고이유에 대하여  1.         도로교통법 제78조 제2호는 자동차운전면허를 받은 사람이           같은 법 제74조 제1항에 정한 정기적성검사를 받지 아니한 경우에 면허관청은 운전면허를', '취소할 수 있다고 규정하여, 위 정기적성검사를 받지 아니한 사유로 운전면허가 취소되려면 정기적성검사기간의 경과라는 사실의 발생만으로는 아직 부족하고 면허관청의 운전면허 취소처분이 별도로 필요함을 명시하고 있고,         그 처분절차에 관하여         도로교통법시행령 제53조는 제1항에서 면허관청이         법 제78조의 규정에 의하여 운전면허를 취소한', '그 사실을 통지하여야 한다고 일반적인 원칙을 규정하는 한편,         제2항에서         제1항의 규정에 의한 통지를 함에 있어 주소의 변경으로 통지를 할 수 없는 때에는 면허증에 기재된 주소지를 관할하는 경찰관서 게시판에 10일간 공고함으로써 통지에 갈음할 수 있다는 예외를 정하고 있으므로,         면허관청이 운전면허를 취소하였다 하더라도           위 시행령 제53조 소정의 적법한 통지 또는 공고가 없으면 그 효력을 발생할 수 없다고 해석되고         (행정처분의 효력발생요건으로서 송달에 관하여         당원 1976.6.8. 선고 75누63 판결 공시송달에 관하여         1989.9.12. 선고 89누3250 판결 참조),         따라서 운전면허 취소처분 이후 위 적법한 통지 또는 공고가 없는 동안의 자동차운전은 무면허운전이라고 할 수 없는 것이다']"
교통사고처리특례법위반,상고인,패소,"['【피고인】 【상고인】   검사【변호인】   변호사 문태길【원심판결】 대구지방법원 1990.8.30. 선고 90노738 판결【주문】  상고를 기각한다', '【이유】  상고이유를 본다', '그러므로 상고를 기각하기로 관여 법관의 의견이 일치되어 주문과 같이 판결한다']"
교통사고처리특례법위반,상고인,패소,"['원심의 이와 같은 판단은 정당한 것으로 수긍이 되고, 원심 판결에 소론과 같이 중앙선침범사고에 관한 법리를 오해한 위법이 있다고 볼 수 없으므로, 논지는 이유가 없다', '소론이 내세우는         당원 1989.4.11. 선고 88도1678 판결 등은 이 사건과 사안을 달리하는 사건에 관한 것들이어서 이 사건에 원용하기에는 적절하지 않다', '그러므로 검사의 상고를 기각하기로 관여법관의 의견이 일치되어 주문과 같이 판결한다']"
"교통사고처리특례법위반,도로교통법위반",상고인,패소,"['【피고인】 【상고인】   피고인【원심판결】 부산지방법원 1990.7.4. 선고 90노1260 판결【주문】  상고를 기각한다', '【이유】  상고이유를 본다', '그러므로 상고를 기각하기로 관여법관의 의견이 일치되어 주문과 같이 판결한다']"
교통사고처리특례법위반,상고인,패소,"['【이유】  검사의 상고이유에 대하여교통사고처리특례법 제3조 제2항 제2호 전단의           도로교통법 제13조 제2항의 규정에 위반하여 차선이 설치된 도로의 중앙선을 침범하였을 때라 함은 위 특례법의 입법취지에 비추어 그 교통사고가 중앙선을 침범하여 운전한 행위로 인하여 일어난 경우, 즉 중앙선침범 행위가 교통사고 발생의 직접적인 원인이 된 경우를 말한다 할 것이다', '따라서 중앙선 침범 행위가 교통사고 발생의 직접적인 원인이 된 이상 사고 장소가 중앙선을 넘어선 반대차선이어야 할 필요는 없으나(          당원 1990.9.25. 선고 90도536 판결 참조) 중앙선 침범행위가 교통사고 발생의 직접적인 원인이 아니라면 교통사고가 중앙선침범운행중에 일어났다 하여 모두 이에 포함되는 것은 아니라 할 것이다', '이에 상고를 기각하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다']"
교통사고처리특례법위반,상고인,패소,"['상고 후의 구금일수 중 제1심 및 제2심 판결에 의하여 본형에 산입된 구금일수를 본형에서 공제한 잔여일수를 본형에 산입한다', '【이유】  피고인 및 변호인의 상고이유를 함께 판단한다', '그러므로 상고를 기각하고 상고 후의 구금일수 중 제1심 및 제2심판결에 의하여 본형에 산입된 구금일수를 본형에서 공제한 잔여일수를 본형에 산입하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다']"
"특정범죄가중처벌등에관한법률위반(도주차량,인정된죄명:교통사고처리특례법위반,도로교통법위반),폭력행위등처벌에관한법률위반,도로교통법위반",상고인,패소,"['결국         위           특정범죄가중처벌등에관한법률 제5조의3의 도주차량가중처벌규정의 적용대상인           도로교통법 제2조 제15호 소정의 “원동기장치 자전거”는           자동차관리법 제3조 및           같은법시행규칙 제2조에 규정된 배기량 50씨씨 이상 또는 정격출력 0.59킬로왓트 이상의 2륜자동차 중에서 내무부령으로 정하는 차만을 말하므로 배기량 50씨씨 미만의 오토바이는 위 가중처벌규정의 적용대상이 될 수 없다고 할 것이다', '또         도로교통법 제109조 제2호 및           제3호(1990.8.1. 법률 제4243호로 개정되기 전의 조항)는           같은 법 제41조 제1항 및           제2항 소정의 자동차등의 주취운전행위 및 주취측정거부행위에 대하여 처벌규정을 두고 있는바, 위에서 자동차등이라 함은 자동차와 원동기자전거를 말하는 것이므로(          같은 법 제15조 참조) 위에서 본 바와 같이 원동기장치 자전거에 포함되지 않는 배기량 50씨씨 미만의 오토바이는 위 처벌규정의 적용대상에도 해당하지 않음이 명백하다', '뿐만 아니라 앞에서 본 바와 같이 모법인        도로교통법 제2조 제15호는         자동차관리법 제3조의 규정에 의한 2륜자동차 중에서 내무부령으로 “원동기장치 자전거”를 분류지정하도록 위임하고 있는데         자동차관리법 제3조 및         같은법시행규칙 제2조 소정의 2륜자동차는 배기량 50씨씨 이상 또는 정격출력 0.59 킬로왓트 이상의 것만을 말하므로, 배기량 50씨씨 미만의 차는 위 2륜자동차에 해당하지 아니하여 “원동기장치 자전거”로 분류할 여지가 없음에도 불구하고 위         도로교통법시행규칙 제2조의2가 그 괄호 안에서 배기량 50씨씨 미만의 차를 2륜자동차에 포함시켜 “원동기장치 자전거”로 규정한 것은 위 모법의 위임규정에 명백히 위반되는 것이어서 이 규정은 무효라고 볼 수밖에 없다']"
교통사고처리특례법위반,상고인,승소,"['위와 같은 증거들에 대하여 신빙성이 없다고 볼만한 아무런 사정이 없으므로 이를 종합하면, 이 사건사고는 피해자가 피고인이 운전한 트럭의 좌측 앞바퀴 흙받이 부분에 충격되어 일어난 사고라고 보는 것이 옳을 것이다', '원심은 피고인의 트럭에서 수거한 털실 한 오라기에 관하여, 위 털실이 발견된 타이탄트럭의 좌측 앞바퀴 흙받이 부분은 지상에서 약 70센티미터의 높이로서 위 이강철의 키가 사고 당시 약 97센티미터인 점에 비추어 볼 때 동인의 어깨 높이 정도이나 동인은 어깨 부분에도 양팔 및 손목부분에도 이무런 상처를 입지 않았다고 판시하고 있어 그 취지가 반드시 명백하지는 아니하나 위 털실이 트럭부분에서 발견된 사실은 인정할 수 있지만 충격부위에 아무런 상처가 없는 점에 비추어 그것이 피해자가 사고 당시 입고 잇던 스웨터에서 나온 것이라는 사실을 인정할 수 없다는 취지인 듯하다', '그러나 앞에서 본 바와 같은 증거관계 아래에서 피고인이 운전한 트럭부분에서 수거한 털실이 피해자가 사고 당시 입고 있던 스웨터에서부터 나온 것이 아니라고 하려면 피해자의 위 스웨터의 털실과 동일한 다른 털실이 트럭부분에 붙어있게 된 특별한 사정을 인정할 다른 증거가 있어야 할 일이다']"
교통사고처리특례법위반,상고인,승소,"['원심은, 피고인이 이 사건 사고지점에 이르러 피해자가 50여미터 앞에서 오토바이를 타고 오는 것을 발견하고 충분히 좌회전하여 갈 수 있으리라고 생각하고 진행하던 도로의 왼쪽으로 난 길을 들어서려고 좌회전하였으나 미처 다 건너지 못하고 이 사건 사고를 발생하게 한 사실을 인정한 다음, 위 인정사실에 의하면 피고인은 객관적으로 중앙선을 넘을 필요가 있는 상태에서 반대방향의 교통에도 주의를 기울렸지만 이 사건 사고를 발생하게 하였다고 할 것이므로, 이는         위 특례법 제3조 제2항 단서 제2호 전단 소정의 ""중앙선을 침범한 경우""에 해당하지 아니한다고 판단하였다', '그러나 원심이 인정한 바와 같이         피고인이 좌회전이 금지되지 아니한 곳에서 왼쪽으로 난 길을 들어서기 위하여 반대차선으로 넘어 들어 갔다면, 객관적으로 보아 중앙선을 넘을 필요가 있었다고 할 것이기는 하지만, 반대차선에서 오토바이가 진행하여 오고 있는 것을 보고도 좌회전하기 위하여 반대차선으로 넘어 들어가다가 미처 반대차선을 완전히 벗어나기도 전에 반대차선에서 진행하여 오던 오토바이와 부딪쳤다면, 다른 특별한 사정이 없는 한 피고인이 반대방향의 교통에 충분한 주의를 기울이면서 중앙선을 침범하여 반대차선으로 넘어 들어갔다고 인정하기는 어려운 것이다', '그럼에도 불구하고         원심은 피고인이 이 사건 교통사고가 발생할 당시의 중앙선을 침범함에 있어서 위와 같이 반대방향의 교통에 충분한 주의를 기울였는지의 여부나 만약의 충분한 주의를 기울였는데도 교통사고가 발생하였다면 그렇게 된 특별한 사정이 있었는지의 여부에 관하여는 아무런 심리판단도 하지 아니한 채, 단지 피고인이 당시 중앙선을 넘을 필요가 있었고 반대방향의 교통을 살펴보고 충분히 좌회전할 수 있을 것으로 생각하였다는 사유만으로 이 사건 교통사고가           위 특례법 제3조 제2항 단서 제2호 전단 소정의 중앙선침범 사고에 해당하지 아니한다고 판단하였으니, 원심판결에는 심리를 제대로 하지 아니 하였거나 위 법조항 소정의 중앙선침범사고에 관한 법리를 오해한 위법이 있다고 하지 않을 수 없고 이와 같은 위법은 판결에 영향을 미친 것임이 명백하므로, 이 점을 지적하는 논지는 이유가 있다']"
교통사고처리특례법위반,상고인,승소,"['원심판결이유에 의하면, 원심은         도로교통법 제2조 제13호와         같은법 제48조 제3호 및         교통사고처리특례법 제3조 제2항 제6호의 각 규정을 종합하면, 이 사건 공소사실과 같은 손수레는 사람에 의하여 도로에서 운전되는 차로서 그와 같은 손수레를 끌고 횡단보도를 건너는 사람은 차의 운전자로서 위 특례법 조항 소정의 보행자라고는 할 수 없다고 판시하여 피고인에 대한이 사건 공소를 기각한 제1심판결을 그대로 유지하고 있다', ""따라서 손수레를 끌고 횡단보도를 건너는 사람은           교통사고처리특례법 제3조 제2항 제6호 및           도로교통법 제48조 제3호에서 규정한 ‘보행자'에 해당한다고 해석함이 상당하다"", '그러므로 원심판결을 파기하고, 사건을 원심법원에 환송하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다']"
교통사고처리특례법위반,상고인,승소,"['원심판결 이유에 의하면 원심은         교통사고처리특례법 제3조 제2항 단서의 ""차선이 설치된 도로의 중앙선을 침범한 행위로 인하여 발생한 때""에 있어서의 도로의 중앙선을 침범한다는 말은 황색실선의 중앙선인 경우로서 교통사고가 발생지점이 중앙선을 넘어선 경우 중에서 중앙선을 침범하여 계속적인 침범운행을 한 행위로 인하여 교통사고를 발생케 하였거나 계속적인 침범운행은 아니었다 하더라도 부득이한 사유가 없는데도 중앙선을 침범하여 교통사고를 발생케 한 경우를 뜻하는 것이고 그 입법취지는 반대차선 운전자의 차선에 대한 신뢰와 안전을 보호하고 중앙선침범으로 인한 대형사고를 방지하려는데 있다고 전제하고 나서 이 사건 공소사실에 따르면 그 사고의 발생장소가 중앙선을 넘어선 반대차선이 아닐 뿐만 아니라 피해차량도 마주오던 차량이 아니라 피고인이 진행하던 차선에 정차하였다가 막떠나려는 차량이라는 것이어서 이는         위 특례법 제3조 제2항 단서 제2호의 요건에 해당할 수 없다고 판단하였다', '그러나         위 특례법 제3조 제2항 단서 제2호는 차선이 설치된 도로의 중앙선을 침범한 행위로 인하여 업무상과실치사상죄 등을 범한 때를 그 조항의 처벌특례에 대한 예외사유로 하고 있으므로 그 중앙선 침해행위가 진행차선에 나타난 장해물을 피하기 위하여 다른 적절한 조치를 취할 겨를이 없이 이루어졌다거나 자기차선을 지켜 운행하려 하였으나 운전자가 지배할 수 없는 외부적여건으로 말미암아 어쩔수 없이 이루어진 경우 등을 제외하고는 위 특례법상의 중앙선침범에 해당한다고 보아야 할 것이고 한편 그 중앙선 침범행위가 교통사고발생의 직접적인 원인이 된 이상 그 사고장소가 중앙선을 넘어선 반대차선이어야 된다거나 피해차량이 마주오던 차량이 어야 한다는 등의 장소와피해차량에 따라 특례법상의 처벌특례에 대한 예외를 달리 구성할 수는 없다고 보아야 할 것이다', '그런데 피고인이 법정 및 수사기관에서의 진술과 기록에 있는 교통사고보고서의 기재내용에 의하면         피고인이 진행방향에 정차중인 버스를 추월함에 있에서 그곳이 약간 왼쪽으로 굽은 도로이었고 그 중앙선에 황색실선이 그어져 있었는데도 반대차선에서 차량이 마주오고 있는가를 확인하지도 아니한 채 시속약 60킬로로 위 중앙선을 침범하여 운행중 마주오던 11톤 카고트럭을 발견하고서야 충돌을 피하기 위하여 급정거 조치를 취하면서 핸들을 오른쪽으로 꺽어 원래의 자기차선으로 진입해 들어 왔으나 위 속력에 의한 주행탄력으로 계속 진행하는 경우 도로옆의 인가를 덮칠 염려가 있는데다가 급회전으로 인하여 차체가 불안정해져서 그 균형을 바로잡기 위하여 다시 핸들을 왼쪽으로 꺾게 되어 그 바람에 그 앞에서 막 출발하려는 피해버스를 충격하여 이 사건 사고가 발생한 사실을 알아 볼 수 있으므로 사실이이와 같다면 피고인은 그 차량의 운행상 반드시 황색실선의 중앙선을 침범하여야 할 부득이한 사정이 없었는데도 위 중앙선을 침범하여 운행하였고 또한 위 중앙선을 침범하였다가원래의 자기차선으로 복귀하는 조치를 취한 후 이 사건 사고가 발생할 때까지다른 운행상의 과실이 있었다고 보여지지 아니하므로 결국 이 사건 사고는 피고인의 중앙선침범이란 운행상의 과실을 직접적인 원인으로 하여 발생한 것이라 보아야 할 것이다']"
교통사고처리특례법위반,상고인,패소,"['【피고인】 【상고인】   피고인【변호인】   변호사 허향【원심판결】 수원지방법원 1990.4.26. 선고 90노47 판결【주문】  상고를 기각한다', '【이유】  상고이유를 본다', '그러므로 상고를 기각하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다']"
